parte_inclusion_digital,sexo,edad,departamento,ciudad,unidad_educativa,normalista,tecnico,licenciatura,especializacion,maestria,doctorado,otro,experiencia,tiempo_establecimiento,tiempo_establecimiento,area,curso_tecnologia,institucion,tiene_computadora,tipo_computadora,numero_computadoras,tienen_tablets,numero_tablet,origen_computadora,internet_casa,internet_movil,internet_colegio,ultima_semana_internet
Sí,Masculino,32,Santa Cruz,Santa Cruz de la Sierra,NACIONAL COTOCA,1,0,1,0,0,0,,20,Más de un año,15,"Ciencia, Tecnología y Producción",1,Aulas Tic,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,Sí,Sí
Sí,Masculino,38,La Paz,El Alto,PRIMAVERA B,1,0,1,0,0,0,,19,Más de un año,5,Comunidad y Sociedad,1,proyecto Inclusión digital programado por la Agetic,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Femenino,54,La Paz,La Paz,DOMINGO FAUSTINO SARMIENTO,1,0,1,1,0,0,,20,Más de un año,5,Comunidad y Sociedad,1,Elaboración de videos,1,Computadora portátil,2,1,1,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Femenino,54,La Paz,La Paz,ABRAHAM REYES FE Y ALEGRIA,0,0,1,0,0,0,,26,Menos de un año,NA,Comunidad y Sociedad,1,Capacitación a profesores.,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Masculino,34,La Paz,La Paz,ABRAHAM REYES FE Y ALEGRIA,0,0,1,0,0,0,,10,Más de un año,7,"Ciencia, Tecnología y Producción",1,Tics en educación,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Masculino,35,La Paz,El Alto,TUPAC AMARU,1,0,1,0,0,0,,5,Más de un año,2,Comunidad y Sociedad,1,AGETIC,1,Computadora portátil,1,0,NA,Dotada por el ministerio,No,Sí,Sí,Sí
Sí,Masculino,51,La Paz,La Paz,ABRAHAM REYES FE Y ALEGRIA,1,0,1,0,0,0,Diplomado,21,Más de un año,5,Cosmos y Pensamiento,1,Inclucion digital,1,Computadora portátil,2,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Femenino,37,La Paz,El Alto,PUERTO DE MEJILLONES CIUDAD SATELITE,0,0,1,0,0,0,,13,Más de un año,3,Comunidad y Sociedad,1,Ofimatica. Agetic,1,Computadora portátil,2,0,NA,Dotada por el ministerio,Sí,Sí,Sí,Sí
Sí,Femenino,62,Oruro,Oruro,PANTALEON DALENCE 1,1,0,0,0,0,0,,34,Más de un año,30,"Ciencia, Tecnología y Producción",1,Implementación del uso de las tecnologías en aula,1,Computadora de escritorio,2,0,NA,Por cuenta propia,Sí,Sí,Sí,Sí
Sí,Femenino,44,Oruro,Oruro,JUAN MISAEL SARACHO SECUNDARIA,1,0,1,0,0,0,,19,Más de un año,11,"Vida, Tierra y Territorio",1,Capacitación con Agetic,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Femenino,33,La Paz,El Alto,ABEL ITURRALDE B,1,0,1,0,0,0,,5,Más de un año,3,Cosmos y Pensamiento,1,Unesco,1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,Sí,No
Sí,Femenino,55,La Paz,El Alto,PRIMAVERA B,0,0,1,0,0,0,,30,Más de un año,17,Comunidad y Sociedad,1,Free - Mind - Inkscape,1,Computadora de escritorio,2,0,NA,Dotada por el ministerio,Sí,Sí,Sí,Sí
Sí,Masculino,38,La Paz,El Alto,1RO. DE MAYO TARDE,1,0,0,0,0,0,,10,Más de un año,2,Comunidad y Sociedad,1,"Word, execel, sozi,freemind,inkscape",1,Computadora portátil,1,0,NA,Dotada por el ministerio,Sí,Sí,Sí,Sí
Sí,Femenino,59,Oruro,Oruro,PANTALEON DALENCE 1,1,0,1,0,0,0,,25,Más de un año,21,Comunidad y Sociedad,0,,1,Computadora portátil,2,0,NA,Dotada por el ministerio,Sí,Sí,Sí,Sí
Sí,Masculino,68,La Paz,El Alto,1RO. DE MAYO TARDE,1,0,0,0,0,0,,25,Más de un año,2,Comunidad y Sociedad,1,"capacitacion de manejo de kuass,word,execel,talleres,paquetes de musica, edicion de videos y musica",1,Computadora de escritorio,3,1,1,Por cuenta propia,Sí,Sí,No,Sí
Sí,Masculino,29,La Paz,La Paz,CRISTIANO VIDA NUEVA,0,1,0,0,0,0,,7,Más de un año,4,"Ciencia, Tecnología y Producción",1,Tic en la educación informática y herramientas digitales,1,Computadora portátil,3,1,2,Por cuenta propia,Sí,Sí,No,Sí
Sí,Masculino,39,La Paz,El Alto,1RO. DE MAYO TARDE,1,0,0,1,1,0,,8,Menos de un año,NA,Comunidad y Sociedad,1,Manejo de kuass inkscape y sozi,1,Computadora de escritorio,1,1,1,Por cuenta propia,Sí,Sí,No,Sí
Sí,Masculino,55,La Paz,La Paz,ALFREDO VARGAS B,1,0,0,0,0,0,,5,Menos de un año,NA,"Vida, Tierra y Territorio",0,,1,Computadora portátil,1,1,2,Dotada por el ministerio,No,Sí,No,Sí
Sí,Femenino,42,La Paz,El Alto,VILLA ALEMANIA,1,0,1,0,1,0,,11,Más de un año,9,"Ciencia, Tecnología y Producción",1,DIPLOMADO EN  INFORMATICA EDUCATIVA,1,Computadora portátil,1,1,1,Dotada por el ministerio,Sí,Sí,No,Sí
Sí,Masculino,30,La Paz,El Alto,BAUTISTA SAAVEDRA,0,0,1,0,0,0,,11,Más de un año,6,"Ciencia, Tecnología y Producción",1,manejo de Kuuas,1,Computadora de escritorio,2,0,NA,Por cuenta propia,Sí,Sí,No,Sí
