gestion,departamento,tipo,cantidad
2005,BENI,EMPRESA UNIPERSONAL,898
2005,BENI,SOCIEDAD ANONIMA,21
2005,BENI,SOCIEDAD DE RESPONSABILIDAD LIMITADA,283
2005,CHUQUISACA,EMPRESA UNIPERSONAL,2106
2005,CHUQUISACA,SOCIEDAD ANONIMA,21
2005,CHUQUISACA,SOCIEDAD COLECTIVA,2
2005,CHUQUISACA,SOCIEDAD DE RESPONSABILIDAD LIMITADA,452
2005,COCHABAMBA,EMPRESA UNIPERSONAL,9854
2005,COCHABAMBA,SOCIEDAD ANONIMA,216
2005,COCHABAMBA,SOCIEDAD ANONIMA MIXTA,3
2005,COCHABAMBA,SOCIEDAD COLECTIVA,18
2005,COCHABAMBA,SOCIEDAD DE RESPONSABILIDAD LIMITADA,2799
2005,COCHABAMBA,SOCIEDAD EN COMANDITA SIMPLE,2
2005,COCHABAMBA,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,7
2005,LA PAZ,EMPRESA UNIPERSONAL,12960
2005,LA PAZ,SOCIEDAD ANONIMA,1139
2005,LA PAZ,SOCIEDAD ANONIMA MIXTA,3
2005,LA PAZ,SOCIEDAD COLECTIVA,38
2005,LA PAZ,SOCIEDAD DE RESPONSABILIDAD LIMITADA,10006
2005,LA PAZ,SOCIEDAD EN COMANDITA POR ACCIONES,2
2005,LA PAZ,SOCIEDAD EN COMANDITA SIMPLE,6
2005,LA PAZ,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,225
2005,ORURO,EMPRESA UNIPERSONAL,1857
2005,ORURO,SOCIEDAD ANONIMA,31
2005,ORURO,SOCIEDAD COLECTIVA,3
2005,ORURO,SOCIEDAD DE RESPONSABILIDAD LIMITADA,797
2005,ORURO,SOCIEDAD EN COMANDITA SIMPLE,1
2005,ORURO,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,1
2005,PANDO,EMPRESA UNIPERSONAL,250
2005,PANDO,SOCIEDAD ANONIMA,2
2005,PANDO,SOCIEDAD DE RESPONSABILIDAD LIMITADA,50
2005,POTOSI,EMPRESA UNIPERSONAL,1358
2005,POTOSI,SOCIEDAD ANONIMA,18
2005,POTOSI,SOCIEDAD COLECTIVA,5
2005,POTOSI,SOCIEDAD DE RESPONSABILIDAD LIMITADA,555
2005,SANTA CRUZ,EMPRESA UNIPERSONAL,8985
2005,SANTA CRUZ,SOCIEDAD ANONIMA,664
2005,SANTA CRUZ,SOCIEDAD ANONIMA MIXTA,4
2005,SANTA CRUZ,SOCIEDAD COLECTIVA,10
2005,SANTA CRUZ,SOCIEDAD DE RESPONSABILIDAD LIMITADA,5987
2005,SANTA CRUZ,SOCIEDAD EN COMANDITA SIMPLE,1
2005,SANTA CRUZ,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,120
2005,TARIJA,EMPRESA UNIPERSONAL,2146
2005,TARIJA,SOCIEDAD ANONIMA,31
2005,TARIJA,SOCIEDAD COLECTIVA,2
2005,TARIJA,SOCIEDAD DE RESPONSABILIDAD LIMITADA,693
2005,TARIJA,SOCIEDAD EN COMANDITA POR ACCIONES,1
2006,BENI,EMPRESA UNIPERSONAL,1143
2006,BENI,SOCIEDAD ANONIMA,26
2006,BENI,SOCIEDAD DE RESPONSABILIDAD LIMITADA,315
2006,CHUQUISACA,EMPRESA UNIPERSONAL,2336
2006,CHUQUISACA,SOCIEDAD ANONIMA,29
2006,CHUQUISACA,SOCIEDAD COLECTIVA,2
2006,CHUQUISACA,SOCIEDAD DE RESPONSABILIDAD LIMITADA,495
2006,COCHABAMBA,EMPRESA UNIPERSONAL,10943
2006,COCHABAMBA,SOCIEDAD ANONIMA,243
2006,COCHABAMBA,SOCIEDAD ANONIMA MIXTA,3
2006,COCHABAMBA,SOCIEDAD COLECTIVA,18
2006,COCHABAMBA,SOCIEDAD DE RESPONSABILIDAD LIMITADA,3100
2006,COCHABAMBA,SOCIEDAD EN COMANDITA SIMPLE,2
2006,COCHABAMBA,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,7
2006,LA PAZ,EMPRESA UNIPERSONAL,14885
2006,LA PAZ,SOCIEDAD ANONIMA,1195
2006,LA PAZ,SOCIEDAD ANONIMA MIXTA,3
2006,LA PAZ,SOCIEDAD COLECTIVA,38
2006,LA PAZ,SOCIEDAD DE RESPONSABILIDAD LIMITADA,10637
2006,LA PAZ,SOCIEDAD EN COMANDITA POR ACCIONES,2
2006,LA PAZ,SOCIEDAD EN COMANDITA SIMPLE,8
2006,LA PAZ,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,233
2006,ORURO,EMPRESA UNIPERSONAL,2156
2006,ORURO,SOCIEDAD ANONIMA,38
2006,ORURO,SOCIEDAD COLECTIVA,3
2006,ORURO,SOCIEDAD DE RESPONSABILIDAD LIMITADA,897
2006,ORURO,SOCIEDAD EN COMANDITA SIMPLE,1
2006,ORURO,SUCURSAL DE SOCIEDAD CONSTITUIDA EN EL EXTRANJERO,1
2006,PANDO,EMPRESA UNIPERSONAL,356
2006,PANDO,SOCIEDAD ANONIMA,2
2006,PANDO,SOCIEDAD DE RESPONSABILIDAD LIMITADA,68
2006,POTOSI,EMPRESA UNIPERSONAL,1556
2006,POTOSI,SOCIEDAD ANONIMA,29
2006,POTOSI,SOCIEDAD COLECTIVA,5
2006,POTOSI,SOCIEDAD DE RESPONSABILIDAD LIMITADA,662
2006,SANTA CRUZ,EMPRESA UNIPERSONAL,10607
2006,SANTA CRUZ,SOCIEDAD ANONIMA,748
2006,SANTA CRUZ,SOCIEDAD ANONIMA MIXTA,4
2006,SANTA CRUZ,SOCIEDAD COLECTIVA,10
